actor,movie_or_TV_name
Maria Djurkovic,Red Sparrow
Maria Djurkovic,Billy Elliot
Maria Djurkovic,Tinker Tailor Soldier Spy
Maria Djurkovic,The Snowman
Maria Djurkovic,The Hours
Maria Djurkovic,Scoop
Nicky Ackland-Snow,The Imitation Game
Nicky Ackland-Snow,Me Before You
Nicky Ackland-Snow,Kingsman: The Golden Circle
Nicky Ackland-Snow,Alice Through the Looking Glass
Nicky Ackland-Snow,Red Sparrow
Nicky Ackland-Snow,Jason Bourne
Nicky Ackland-Snow,Macbeth
Nicky Ackland-Snow,The Invisible Woman
Lauren Briggs-Miller,The Imitation Game
Lauren Briggs-Miller,Me Before You
Lauren Briggs-Miller,1917
Lauren Briggs-Miller,Annihilation
Lauren Briggs-Miller,Wonder Woman 1984
Lauren Briggs-Miller,Mary Poppins Returns
Lauren Briggs-Miller,The Foreigner
Lauren Briggs-Miller,Macbeth
Rebecca Milton,The Imitation Game
Rebecca Milton,Me Before You
Rebecca Milton,The Hitman's Bodyguard
Rebecca Milton,London Has Fallen
Rebecca Milton,The BFG
Rebecca Milton,The Foreigner
Rebecca Milton,The Nutcracker and the Four Realms
Rebecca Milton,Macbeth
Marco Anton Restivo,Bohemian Rhapsody
Marco Anton Restivo,The Imitation Game
Marco Anton Restivo,Jurassic World: Fallen Kingdom
Marco Anton Restivo,Assassin's Creed
Marco Anton Restivo,Transformers: The Last Knight
Marco Anton Restivo,Allied
Marco Anton Restivo,Legend
Marco Anton Restivo,Macbeth
Mark Underwood,The Imitation Game
Mark Underwood,Criminal
Mark Underwood,Breathe
Mark Underwood,Dark Angel
Mark Underwood,Black Earth Rising
David G. Robinson,The Imitation Game
David G. Robinson,Great Expectations
David G. Robinson,Bitter Harvest
David G. Robinson,Cute Little Buggers
Óscar Faura,The Imitation Game
Óscar Faura,Jurassic World: Fallen Kingdom
Óscar Faura,The Impossible
Óscar Faura,A Monster Calls
Óscar Faura,The Orphanage
Óscar Faura,The Lord of the Rings: The Rings of Power
Óscar Faura,The Body
Óscar Faura,Anna
Marc Gómez del Moral,The Imitation Game
Marc Gómez del Moral,Suffragette
Marc Gómez del Moral,Darkness
Marc Gómez del Moral,Trespass Against Us
Marc Gómez del Moral,Dying Beyond Their Means
Marc Gómez del Moral,Body Armour
Marc Gómez del Moral,The Daughter
Joseph Oliveira,Interstellar
Joseph Oliveira,Jaws
Joseph Oliveira,Whiplash
Joseph Oliveira,Central Intelligence
Joseph Oliveira,The Imitation Game
Joseph Oliveira,The Dark Knight
Joseph Oliveira,American Psycho
Joseph Oliveira,The Departed
Tatiana Macdonald,The Imitation Game
Tatiana Macdonald,Tinker Tailor Soldier Spy
Tatiana Macdonald,The Snowman
Tatiana Macdonald,EverAfter
Tatiana Macdonald,The Dig
Tatiana Macdonald,Cassandra's Dream
Tatiana Macdonald,A Bigger Splash
Tatiana Macdonald,The Invisible Woman
Stuart Matthews,The Imitation Game
Stuart Matthews,Night at the Museum: Secret of the Tomb
Stuart Matthews,Paddington
Stuart Matthews,The Machine
Stuart Matthews,Mr. Turner
Stuart Matthews,Quantum Love
Stuart Matthews,Powder Room
Stuart Matthews,The Hooligan Factory
Debra Leigh-Taylor,The Imitation Game
Debra Leigh-Taylor,John Carter
Debra Leigh-Taylor,I Give It a Year
Debra Leigh-Taylor,Dogged
Debra Leigh-Taylor,The Liar
Leigh Dent,The Imitation Game
Leigh Dent,The Commuter
Leigh Dent,Kick-Ass 2
Leigh Dent,The Woman in Black 2: Angel of Death
Leigh Dent,The Favourite
Leigh Dent,The Sense of an Ending
Alexander Cooper,The Imitation Game
Alexander Cooper,Now You See Me 2
Alexander Cooper,Assassin's Creed
Alexander Cooper,Jason Bourne
Alexander Cooper,The Foreigner
Alexander Cooper,Sandow
Alexander Cooper,Parallel
Andrew Havill,The Imitation Game
Andrew Havill,The King's Speech
Andrew Havill,The King
Andrew Havill,Cloud Atlas
Andrew Havill,Star Wars: The Rise of Skywalker
Andrew Havill,Les Misérables
Andrew Havill,The Awakening
Andrew Havill,The Iron Lady
Victoria Wicks,The Imitation Game
Victoria Wicks,What a Girl Wants
Victoria Wicks,High-Rise
Victoria Wicks,The Mighty Boosh
Victoria Wicks,Finding Your Feet
Victoria Wicks,Drop the Dead Donkey
Victoria Wicks,Notes on Blindness
Victoria Wicks,Sherlock
David Charkham,The Imitation Game
David Charkham,2001: A Space Odyssey
David Charkham,Robin of Sherwood
Charlie Manton,November 1st
Charlie Manton,Second Skin
James G. Nunn,The Imitation Game
James G. Nunn,Arthur & Merlin: Knights of Camelot
James G. Nunn,Robin Hood: The Rebellion
James G. Nunn,Bone Breaker
James G. Nunn,Missile from the East
Tuppence Middleton,The Imitation Game
Tuppence Middleton,Jupiter Ascending
Tuppence Middleton,Trance
Tuppence Middleton,Sense8
Tuppence Middleton,Mank
Tuppence Middleton,The Current War
Tuppence Middleton,Possessor Uncut
Tuppence Middleton,A Long Way Down
Jack Bannon,The Imitation Game
Jack Bannon,Fury
Jack Bannon,Pennyworth: The Origin of Batman's Butler
Jack Bannon,Kids in Love
Jack Bannon,The Loch
Jack Bannon,A Plea for Grimsby
Jack Bannon,Endeavour
Jack Bannon,Ripper Street
Alex Lawther,The End of the F***ing World
Alex Lawther,The Imitation Game
Alex Lawther,The Last Duel
Alex Lawther,Ghost Stories
Alex Lawther,Goodbye Christopher Robin
Alex Lawther,Freak Show
Alex Lawther,X+Y
Alex Lawther,The Translators
Jack Tarlton,The Imitation Game
Jack Tarlton,8 Days: To the Moon and Back
Jack Tarlton,Outlander
Jack Tarlton,Doctor Who
Jack Tarlton,8 Days: To the Moon and Back
Jack Tarlton,The Unscarred
Jack Tarlton,The Cater Street Hangman
Jack Tarlton,The Genius of Mozart
Ilan Goodman,The Imitation Game
Ilan Goodman,The Foreigner
Ilan Goodman,A Long Way Down
Ilan Goodman,Echelon Conspiracy
Ilan Goodman,Diana
Ilan Goodman,Mechanical Marvels: Clockwork Dreams
Ilan Goodman,1944: Should We Bomb Auschwitz?
Steven Waddington,The Imitation Game
Steven Waddington,Uncharted
Steven Waddington,Sleepy Hollow
Steven Waddington,The Last of the Mohicans
Steven Waddington,The Hole
Steven Waddington,A Little Chaos
Steven Waddington,When the Lights Went Out
Steven Waddington,The Heir Apparent: Largo Winch
Tom Goodman-Hill,The Imitation Game
Tom Goodman-Hill,Black Mirror
Tom Goodman-Hill,The League of Extraordinary Gentlemen
Tom Goodman-Hill,Everest
Tom Goodman-Hill,Rebecca
Tom Goodman-Hill,Chalet Girl
Tom Goodman-Hill,Where Hands Touch
Tom Goodman-Hill,Humans
James Northcote,The Imitation Game
James Northcote,Nymphomaniac: Vol. I
James Northcote,The Last Kingdom
James Northcote,Belle
James Northcote,Patient Zero
James Northcote,Anna Karenina
James Northcote,Wuthering Heights
James Northcote,A United Kingdom
Mark Strong,Shazam!
Mark Strong,Kingsman: The Secret Service
Mark Strong,1917
Mark Strong,Sherlock Holmes
Mark Strong,Kingsman: The Golden Circle
Mark Strong,Kick-Ass
Mark Strong,The Imitation Game
Mark Strong,Green Lantern
Charles Dance,Me Before You
Charles Dance,The Imitation Game
Charles Dance,Alien³
Charles Dance,Dracula Untold
Charles Dance,Ghostbusters
Charles Dance,Godzilla: King of the Monsters
Charles Dance,Underworld: Awakening
Charles Dance,And Then There Were None
Matthew Beard,The Imitation Game
Matthew Beard,One Day
Matthew Beard,Johnny English Strikes Again
Matthew Beard,Chatroom
Matthew Beard,An Education
Matthew Beard,The Riot Club
Matthew Beard,Elizabeth Harvest
Matthew Beard,Vienna Blood
Allen Leech,The Imitation Game
Allen Leech,Bohemian Rhapsody
Allen Leech,Grand Piano
Allen Leech,Downton Abbey
Allen Leech,In Fear
Allen Leech,Rome
Allen Leech,Downton Abbey
Allen Leech,Downton Abbey: A New Era
Rory Kinnear,The Imitation Game
Rory Kinnear,Skyfall
Rory Kinnear,Black Mirror
Rory Kinnear,Spectre
Rory Kinnear,Quantum of Solace
Rory Kinnear,No Time to Die
Rory Kinnear,iBoy
Rory Kinnear,Men
Matthew Goode,The Imitation Game
Matthew Goode,Watchmen
Matthew Goode,Leap Year
Matthew Goode,Self/less
Matthew Goode,Stoker
Matthew Goode,Allied
Matthew Goode,The King's Man
Matthew Goode,The House
Keira Knightley,The Imitation Game
Keira Knightley,Pride & Prejudice
Keira Knightley,Pirates of the Caribbean: The Curse of the Black Pearl
Keira Knightley,Pirates of the Caribbean: Dead Man's Chest
Keira Knightley,Pirates of the Caribbean: At World's End
Keira Knightley,Atonement
Keira Knightley,Anna Karenina
Keira Knightley,A Dangerous Method
